experiment,user_id,user_name,algorithm,found_solution,runtime_ms,constraint_satisfaction_rate,calorie_error,protein_error,diversity_score,preference_score,balance_score,total_calories,total_protein,success,beam_width,strictness,num_allergens,diet_type,dataset_size
constraint_strictness,5,David,,True,1.5180110931396484,100.0,5.0,0.0,33.69230769230769,33.33333333333333,84.57854406130268,1705.0,126.0,False,,moderate,1.0,pescatarian,
constraint_strictness,6,Lisa,,True,1.6133785247802734,100.0,5.0,0.0,35.69230769230769,100.0,85.22349025202092,1545.0,104.0,False,,strict,1.0,gluten-free,
constraint_strictness,7,Tom,,True,2.1772384643554688,100.0,89.0,0.0,24.615384615384617,100.0,73.53801169590645,1911.0,136.0,False,,lenient,0.0,balanced,
constraint_strictness,8,Rachel,,True,1.4727115631103516,100.0,87.0,0.0,56.92307692307693,33.33333333333333,66.39934913993491,1487.0,116.0,True,,strict,2.0,high-protein,
constraint_strictness,9,Chris,,True,1.0197162628173828,100.0,1.0,0.0,3.3333333333333286,0.0,62.96847853065277,1851.0,133.0,False,,lenient,0.0,vegetarian,
constraint_strictness,10,Nina,,True,1.50299072265625,100.0,5.0,0.0,38.57142857142857,33.33333333333333,72.31182795698925,1645.0,126.0,False,,moderate,1.0,pescatarian,
dataset_scaling,1,Alex,,True,0.3974437713623047,100.0,120.0,0.0,38.769230769230774,66.66666666666666,39.70828233374133,1680.0,126.0,False,,,,,50.0
dataset_scaling,2,Sarah,,False,9.257793426513672,0.0,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,False,,,,,50.0
dataset_scaling,3,Mike,,False,5.687236785888672,0.0,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,False,,,,,50.0
dataset_scaling,4,Emma,,True,0.6606578826904297,100.0,220.0,0.0,50.92307692307693,66.66666666666666,95.31167459059694,1280.0,70.0,False,,,,,50.0
dataset_scaling,5,David,,False,50.53544044494629,0.0,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,False,,,,,50.0
dataset_scaling,6,Lisa,,True,0.8540153503417969,100.0,150.0,0.0,56.66666666666667,33.33333333333333,47.425573450463645,1400.0,101.0,True,,,,,50.0
dataset_scaling,7,Tom,,True,0.9939670562744141,100.0,280.0,0.0,37.42857142857143,66.66666666666666,66.56626506024095,1720.0,112.0,False,,,,,50.0
dataset_scaling,8,Rachel,,True,0.3838539123535156,100.0,20.0,0.0,54.92307692307693,33.33333333333333,55.72230356271352,1420.0,102.0,True,,,,,50.0
dataset_scaling,9,Chris,,False,32.21869468688965,0.0,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,False,,,,,50.0
dataset_scaling,10,Nina,,False,46.10562324523926,0.0,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,False,,,,,50.0
dataset_scaling,1,Alex,,True,0.6604194641113281,100.0,120.0,0.0,38.769230769230774,66.66666666666666,39.70828233374133,1680.0,126.0,False,,,,,100.0
dataset_scaling,2,Sarah,,True,0.247955322265625,100.0,175.0,0.0,31.692307692307693,33.33333333333333,62.16216216216216,1425.0,84.0,False,,,,,100.0
dataset_scaling,3,Mike,,False,21.54827117919922,0.0,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,False,,,,,100.0
dataset_scaling,4,Emma,,True,0.5288124084472656,100.0,32.0,0.0,33.69230769230769,33.33333333333333,70.55837563451777,1468.0,88.0,False,,,,,100.0
dataset_scaling,5,David,,True,0.7622241973876953,100.0,300.0,0.0,68.0,33.33333333333333,42.51712733286085,1400.0,102.0,False,,,,,100.0
dataset_scaling,6,Lisa,,True,0.7495880126953125,100.0,90.0,0.0,54.285714285714285,66.66666666666666,13.885081105780202,1460.0,125.0,True,,,,,100.0
dataset_scaling,7,Tom,,True,1.0197162628173828,100.0,280.0,0.0,37.42857142857143,66.66666666666666,66.56626506024095,1720.0,112.0,False,,,,,100.0
dataset_scaling,8,Rachel,,True,0.7140636444091797,100.0,20.0,0.0,54.92307692307693,33.33333333333333,55.72230356271352,1420.0,102.0,True,,,,,100.0
dataset_scaling,9,Chris,,False,55.16648292541504,0.0,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,False,,,,,100.0
dataset_scaling,10,Nina,,True,1.2667179107666016,100.0,250.0,0.0,68.0,66.66666666666666,42.51712733286085,1400.0,102.0,False,,,,,100.0
dataset_scaling,1,Alex,,True,1.6028881072998047,100.0,13.0,0.0,39.42857142857143,33.33333333333333,75.0,1787.0,126.0,False,,,,,150.0
dataset_scaling,2,Sarah,,True,0.38743019104003906,100.0,15.0,0.0,33.69230769230769,33.33333333333333,92.16417910447761,1615.0,88.0,False,,,,,150.0
dataset_scaling,3,Mike,,True,0.32067298889160156,100.0,94.0,0.0,3.3333333333333286,0.0,0.0,1806.0,103.0,False,,,,,150.0
dataset_scaling,4,Emma,,True,0.9782314300537109,100.0,1.0,0.0,32.666666666666664,0.0,64.48697501329082,1499.0,118.0,False,,,,,150.0
dataset_scaling,5,David,,True,1.3952255249023438,100.0,5.0,0.0,33.69230769230769,33.33333333333333,84.57854406130268,1705.0,126.0,False,,,,,150.0
dataset_scaling,6,Lisa,,True,1.1463165283203125,100.0,5.0,0.0,35.69230769230769,100.0,85.22349025202092,1545.0,104.0,False,,,,,150.0
dataset_scaling,7,Tom,,True,1.6088485717773438,100.0,89.0,0.0,24.615384615384617,100.0,73.53801169590645,1911.0,136.0,False,,,,,150.0
dataset_scaling,8,Rachel,,True,1.0285377502441406,100.0,87.0,0.0,56.92307692307693,33.33333333333333,66.39934913993491,1487.0,116.0,True,,,,,150.0
dataset_scaling,9,Chris,,True,0.7188320159912109,100.0,1.0,0.0,3.3333333333333286,0.0,62.96847853065277,1851.0,133.0,False,,,,,150.0
dataset_scaling,10,Nina,,True,1.1463165283203125,100.0,5.0,0.0,38.57142857142857,33.33333333333333,72.31182795698925,1645.0,126.0,False,,,,,150.0
dataset_scaling,1,Alex,,True,1.2297630310058594,100.0,13.0,0.0,39.42857142857143,33.33333333333333,75.0,1787.0,126.0,False,,,,,200.0
dataset_scaling,2,Sarah,,True,0.44989585876464844,100.0,15.0,0.0,33.69230769230769,33.33333333333333,92.16417910447761,1615.0,88.0,False,,,,,200.0
dataset_scaling,3,Mike,,True,0.36716461181640625,100.0,94.0,0.0,3.3333333333333286,0.0,0.0,1806.0,103.0,False,,,,,200.0
dataset_scaling,4,Emma,,True,0.9605884552001953,100.0,1.0,0.0,32.666666666666664,0.0,64.48697501329082,1499.0,118.0,False,,,,,200.0
dataset_scaling,5,David,,True,1.4889240264892578,100.0,5.0,0.0,33.69230769230769,33.33333333333333,84.57854406130268,1705.0,126.0,False,,,,,200.0
dataset_scaling,6,Lisa,,True,1.5392303466796875,100.0,5.0,0.0,35.69230769230769,100.0,85.22349025202092,1545.0,104.0,False,,,,,200.0
dataset_scaling,7,Tom,,True,2.119779586791992,100.0,89.0,0.0,24.615384615384617,100.0,73.53801169590645,1911.0,136.0,False,,,,,200.0
dataset_scaling,8,Rachel,,True,1.3151168823242188,100.0,87.0,0.0,56.92307692307693,33.33333333333333,66.39934913993491,1487.0,116.0,True,,,,,200.0
dataset_scaling,9,Chris,,True,0.9810924530029297,100.0,1.0,0.0,3.3333333333333286,0.0,62.96847853065277,1851.0,133.0,False,,,,,200.0
dataset_scaling,10,Nina,,True,1.512765884399414,100.0,5.0,0.0,38.57142857142857,33.33333333333333,72.31182795698925,1645.0,126.0,False,,,,,200.0
failure_analysis,1,Alex,,True,1.4040470123291016,100.0,13.0,0.0,39.42857142857143,33.33333333333333,75.0,1787.0,126.0,False,,,,,
failure_analysis,2,Sarah,,True,0.4928112030029297,100.0,15.0,0.0,33.69230769230769,33.33333333333333,92.16417910447761,1615.0,88.0,False,,,,,
failure_analysis,3,Mike,,True,0.408172607421875,100.0,94.0,0.0,3.3333333333333286,0.0,0.0,1806.0,103.0,False,,,,,
failure_analysis,4,Emma,,True,0.9822845458984375,100.0,1.0,0.0,32.666666666666664,0.0,64.48697501329082,1499.0,118.0,False,,,,,
failure_analysis,5,David,,True,1.5439987182617188,100.0,5.0,0.0,33.69230769230769,33.33333333333333,84.57854406130268,1705.0,126.0,False,,,,,
failure_analysis,6,Lisa,,True,1.665353775024414,100.0,5.0,0.0,35.69230769230769,100.0,85.22349025202092,1545.0,104.0,False,,,,,
failure_analysis,7,Tom,,True,2.1240711212158203,100.0,89.0,0.0,24.615384615384617,100.0,73.53801169590645,1911.0,136.0,False,,,,,
failure_analysis,8,Rachel,,True,1.4317035675048828,100.0,87.0,0.0,56.92307692307693,33.33333333333333,66.39934913993491,1487.0,116.0,True,,,,,
failure_analysis,9,Chris,,True,0.9601116180419922,100.0,1.0,0.0,3.3333333333333286,0.0,62.96847853065277,1851.0,133.0,False,,,,,
failure_analysis,10,Nina,,True,1.4879703521728516,100.0,5.0,0.0,38.57142857142857,33.33333333333333,72.31182795698925,1645.0,126.0,False,,,,,
